[01:00:00.000209142] (+?.?????????) 0 thread_create: { thread_id = 2, name = "hpwork" }
[01:00:07.909122952] (+0.000033238) 0 stack_usage: { pid = 6, func_ptr = 0x8031CFD, usage_bytes = 1456 }
[01:00:07.909156857] (+0.000033905) 0 stack_usage: { pid = 6, func_ptr = 0x8031DC1, usage_bytes = 1112 }
[01:00:07.909208285] (+0.000051428) 0 stack_usage: { pid = 6, func_ptr = 0x801B0E5, usage_bytes = 1384 }
[01:00:07.909243904] (+0.000035619) 0 stack_usage: { pid = 6, func_ptr = 0x8017205, usage_bytes = 1376 }
[01:00:07.909393142] (+0.000149238) 0 stack_usage: { pid = 6, func_ptr = 0x801B0E5, usage_bytes = 1384 }
[01:00:07.909482285] (+0.000089143) 0 stack_usage: { pid = 6, func_ptr = 0x801B08D, usage_bytes = 1384 }
[01:00:07.909576571] (+0.000094286) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 1288 }
[01:00:07.909666000] (+0.000089429) 0 stack_usage: { pid = 6, func_ptr = 0x8019AA9, usage_bytes = 1288 }
[01:00:07.909755333] (+0.000089333) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 1288 }
[01:00:07.909844952] (+0.000089619) 0 stack_usage: { pid = 6, func_ptr = 0x8019D41, usage_bytes = 1344 }
[01:00:07.909934190] (+0.000089238) 0 stack_usage: { pid = 6, func_ptr = 0x801B0E5, usage_bytes = 1384 }
[01:00:07.910023238] (+0.000089048) 0 stack_usage: { pid = 6, func_ptr = 0x801B08D, usage_bytes = 1384 }
[01:00:07.910117142] (+0.000093904) 0 stack_usage: { pid = 6, func_ptr = 0x8017205, usage_bytes = 1376 }
[01:00:07.910272666] (+0.000155524) 0 stack_usage: { pid = 6, func_ptr = 0x801B0E5, usage_bytes = 1384 }
[01:00:07.910361809] (+0.000089143) 0 stack_usage: { pid = 6, func_ptr = 0x801B08D, usage_bytes = 1384 }
[01:00:07.910456095] (+0.000094286) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 1288 }
[01:00:07.910543809] (+0.000087714) 0 stack_usage: { pid = 6, func_ptr = 0x8019B01, usage_bytes = 1288 }
[01:00:07.910634857] (+0.000091048) 0 stack_usage: { pid = 6, func_ptr = 0x801592D, usage_bytes = 1184 }
[01:00:07.910662095] (+0.000027238) 0 stack_usage: { pid = 6, func_ptr = 0x8013B7D, usage_bytes = 1256 }
[01:00:07.910691047] (+0.000028952) 0 stack_usage: { pid = 6, func_ptr = 0x8032CF1, usage_bytes = 1344 }
[01:00:07.910722857] (+0.000031810) 0 stack_usage: { pid = 6, func_ptr = 0x8015A99, usage_bytes = 1456 }
[01:00:07.910752380] (+0.000029523) 0 stack_usage: { pid = 6, func_ptr = 0x8032CF1, usage_bytes = 1344 }
[01:00:07.910780095] (+0.000027715) 0 stack_usage: { pid = 6, func_ptr = 0x8013B7D, usage_bytes = 1464 }
[01:00:07.910812000] (+0.000031905) 0 stack_usage: { pid = 6, func_ptr = 0x801CC01, usage_bytes = 1424 }
[01:00:07.910839238] (+0.000027238) 0 stack_usage: { pid = 6, func_ptr = 0x80156C9, usage_bytes = 1488 }
[01:00:07.910868095] (+0.000028857) 0 stack_usage: { pid = 6, func_ptr = 0x8015C15, usage_bytes = 1432 }
[01:00:07.910900857] (+0.000032762) 0 stack_usage: { pid = 6, func_ptr = 0x801AF4D, usage_bytes = 1392 }
[01:00:07.910928285] (+0.000027428) 0 stack_usage: { pid = 6, func_ptr = 0x80156C9, usage_bytes = 1496 }
